----------------------------------------------------------------
Epoch 54/300, Train Loss: 0.656, Train Accuracy: 77.16%, Test Loss: 0.0045, Test Accuracy: 80.50%
Epoch 55/300, Train Loss: 0.652, Train Accuracy: 77.15%, Test Loss: 0.0045, Test Accuracy: 80.46%
Epoch 56/300, Train Loss: 0.646, Train Accuracy: 77.34%, Test Loss: 0.0046, Test Accuracy: 80.18%
Epoch 57/300, Train Loss: 0.644, Train Accuracy: 77.33%, Test Loss: 0.0046, Test Accuracy: 80.49%
Epoch 58/300, Train Loss: 0.646, Train Accuracy: 77.40%, Test Loss: 0.0044, Test Accuracy: 80.74%
Epoch 59/300, Train Loss: 0.639, Train Accuracy: 77.86%, Test Loss: 0.0044, Test Accuracy: 80.87%
Epoch 60/300, Train Loss: 0.637, Train Accuracy: 77.84%, Test Loss: 0.0043, Test Accuracy: 81.65%
Epoch 61/300, Train Loss: 0.640, Train Accuracy: 77.57%, Test Loss: 0.0045, Test Accuracy: 80.38%
Epoch 62/300, Train Loss: 0.640, Train Accuracy: 77.64%, Test Loss: 0.0043, Test Accuracy: 81.27%
Epoch 63/300, Train Loss: 0.634, Train Accuracy: 77.92%, Test Loss: 0.0044, Test Accuracy: 81.25%
Epoch 64/300, Train Loss: 0.629, Train Accuracy: 78.01%, Test Loss: 0.0045, Test Accuracy: 80.57%
Epoch 65/300, Train Loss: 0.624, Train Accuracy: 78.05%, Test Loss: 0.0044, Test Accuracy: 80.52%
Epoch 66/300, Train Loss: 0.620, Train Accuracy: 78.31%, Test Loss: 0.0045, Test Accuracy: 80.76%
Epoch 67/300, Train Loss: 0.625, Train Accuracy: 78.11%, Test Loss: 0.0043, Test Accuracy: 81.70%
Epoch 68/300, Train Loss: 0.618, Train Accuracy: 78.21%, Test Loss: 0.0043, Test Accuracy: 80.99%
Epoch 69/300, Train Loss: 0.618, Train Accuracy: 78.33%, Test Loss: 0.0043, Test Accuracy: 81.20%
Epoch 70/300, Train Loss: 0.613, Train Accuracy: 78.49%, Test Loss: 0.0044, Test Accuracy: 80.52%
Epoch 71/300, Train Loss: 0.614, Train Accuracy: 78.53%, Test Loss: 0.0044, Test Accuracy: 80.87%
Epoch 72/300, Train Loss: 0.612, Train Accuracy: 78.75%, Test Loss: 0.0042, Test Accuracy: 81.78%
Epoch 73/300, Train Loss: 0.605, Train Accuracy: 78.83%, Test Loss: 0.0042, Test Accuracy: 81.65%
Epoch 74/300, Train Loss: 0.608, Train Accuracy: 78.69%, Test Loss: 0.0043, Test Accuracy: 81.40%
Epoch 75/300, Train Loss: 0.609, Train Accuracy: 78.72%, Test Loss: 0.0042, Test Accuracy: 81.24%
Epoch 76/300, Train Loss: 0.595, Train Accuracy: 79.05%, Test Loss: 0.0042, Test Accuracy: 81.42%
Epoch 77/300, Train Loss: 0.603, Train Accuracy: 78.97%, Test Loss: 0.0041, Test Accuracy: 81.97%
Epoch 78/300, Train Loss: 0.593, Train Accuracy: 79.29%, Test Loss: 0.0043, Test Accuracy: 81.68%
Epoch 79/300, Train Loss: 0.595, Train Accuracy: 79.03%, Test Loss: 0.0043, Test Accuracy: 81.55%
Epoch 80/300, Train Loss: 0.595, Train Accuracy: 79.25%, Test Loss: 0.0040, Test Accuracy: 82.09%
Epoch 81/300, Train Loss: 0.593, Train Accuracy: 79.33%, Test Loss: 0.0042, Test Accuracy: 82.30%
Epoch 82/300, Train Loss: 0.596, Train Accuracy: 79.00%, Test Loss: 0.0044, Test Accuracy: 81.03%
Epoch 83/300, Train Loss: 0.592, Train Accuracy: 79.43%, Test Loss: 0.0042, Test Accuracy: 81.42%
Epoch 84/300, Train Loss: 0.586, Train Accuracy: 79.57%, Test Loss: 0.0041, Test Accuracy: 82.38%
